DATE,	CNY_SALARY,	TO_USD,	TO_NTD,	CNY2USD,	USD2NTD,	CNY2NTD
2015-07-01,	23000,	3714.5,	114629.47,	0.1615,	30.86000,	4.95700
2015-08-26,	23000,	3560.4,	115659.594,	0.1548,	32.485,	4.974
2015-08-27,	23000,	3571.9,	115800.998,	0.1553,	32.42,	4.985
2015-08-27,	23000,	3574.2,	115446.66,	0.1554,	32.3,	4.966
2015-08-28,	23000,	3583.4,	115546.733,	0.1558,	32.245,	4.966
2015-08-31,	23000,	3592.6,	116561.907,	0.1562,	32.445,	5.017
2015-08-31,	23000,	3592.6,	116597.833,	0.1562,	32.455,	5.019
2015-09-01,	23000,	3592.6,	116436.166,	0.1562,	32.41,	5.007
2015-09-02,	23000,	3597.2,	116549.28,	0.1564,	32.4,	5.007
2015-09-03,	23000,	3597.2,	116711.154,	0.1564,	32.445,	5.002
2015-09-04,	23000,	3590.3,	116684.75,	0.1561,	32.5,	5.012
2015-09-04,	23000,	3590.3,	116684.75,	0.1561,	32.5,	5.012
2015-09-07,	23000,	3585.7,	116947.6055,	0.1559,	32.615,	5.033
2015-09-07,	23000,	3583.4,	116944.259,	0.1558,	32.635,	5.022
2015-09-08,	23000,	3576.5,	116933.6675,	0.1555,	32.695,	5.012
2015-09-08,	23000,	3574.2,	116929.953,	0.1554,	32.715,	5.023
2015-09-08,	23000,	3583.4,	116926.342,	0.1558,	32.63,	5.023
2015-09-09,	23000,	3592.6,	116741.537,	0.1562,	32.495,	5.016
2015-09-10,	23000,	3585.7,	116786.249,	0.1559,	32.57,	5.005
2015-09-10,	23000,	3601.8,	116842.392,	0.1566,	32.44,	5.035
2015-09-11,	23000,	3608.7,	117228.6195,	0.1569,	32.485,	5.058
2015-09-14,	23000,	3611.0,	117158.895,	0.157,	32.445,	5.05
2015-09-14,	23000,	3615.6,	117380.454,	0.1572,	32.465,	5.047
2015-09-14,	23000,	3615.6,	117380.454,	0.1572,	32.465,	5.047
2015-09-15,	23000,	3615.6,	117308.142,	0.1572,	32.445,	5.053
2015-09-15,	23000,	3615.6,	117507.0,	0.1572,	32.5,	5.054
2015-09-16,	23000,	3615.6,	117579.312,	0.1572,	32.52,	5.059
2015-09-16,	23000,	3615.6,	117579.312,	0.1572,	32.52,	5.056
2015-09-16,	23000,	3615.6,	117398.532,	0.1572,	32.47,	5.046
2015-09-17,	23000,	3617.9,	117039.065,	0.1573,	32.35,	5.035
2015-09-17,	23000,	3617.9,	117057.1545,	0.1573,	32.355,	5.036
2015-09-17,	23000,	3617.9,	117039.065,	0.1573,	32.35,	5.025
2015-09-18,	23000,	3620.2,	117059.167,	0.1574,	32.335,	5.032
2015-09-21,	23000,	3622.5,	117260.325,	0.1575,	32.37,	5.043
2015-09-21,	23000,	3613.3,	117414.1835,	0.1571,	32.495,	5.052
2015-09-22,	23000,	3613.3,	117793.58,	0.1571,	32.6,	5.069
2015-09-22,	23000,	3615.6,	117705.858,	0.1572,	32.555,	5.065
2015-09-23,	23000,	3606.4,	117983.376,	0.1568,	32.715,	5.077
2015-09-23,	23000,	3604.1,	118088.3365,	0.1567,	32.765,	5.079
2015-09-24,	23000,	3599.5,	118243.575,	0.1565,	32.85,	5.087
2015-09-24,	23000,	3601.8,	118301.121,	0.1566,	32.845,	5.09
2015-09-30,	23000,	3650.1,	120161.292,	0.1587,	32.92,	5.171
2015-09-30,	23000,	3647.8,	119720.796,	0.1586,	32.82,	5.151
2015-10-01,	23000,	3640.9,	119002.8165,	0.1583,	32.685,	5.121
2015-10-02,	23000,	3636.3,	119143.3695,	0.1581,	32.765,	5.129
2015-10-02,	23000,	3636.3,	119143.3695,	0.1581,	32.765,	5.129
2015-10-05,	23000,	3638.6,	119218.729,	0.1582,	32.765,	5.131
2015-10-05,	23000,	3640.9,	119203.066,	0.1583,	32.74,	5.129
2015-10-06,	23000,	3643.2,	118895.832,	0.1584,	32.635,	5.117
2015-10-07,	23000,	3620.1,	116996.38,	0.157,	32.499,	5.115
2015-10-07,	23000,	3619.6,	117000.71,	0.157,	32.500,	5.115
2015-10-07,	23000,	3619.8,	116879.06,	0.157,	32.466,	5.110
2015-10-07,	23000,	3619.7,	116875.25,	0.157,	32.465,	5.109
2015-10-08,	23000,	3617.1,	117003.32,	0.157,	32.501,	5.111
2015-10-08,	23000,	3620.1,	117311.70,	0.157,	32.587,	5.129
2015-10-12,	23000,	3624.6,	116665.52,	0.158,	32.407,	5.107
2015-10-12,	23000,	3637.2,	116335.55,	0.158,	32.315,	5.110
2015-10-12,	23000,	3637.2,	116335.55,	0.158,	32.315,	5.110
2015-10-13,	23000,	3632.6,	116664.96,	0.158,	32.407,	5.118
2015-10-13,	23000,	3627.8,	117037.64,	0.158,	32.510,	5.128
2015-10-14,	23000,	3624.0,	117081.14,	0.158,	32.523,	5.124
2015-10-15,	23000,	3625.3,	116250.66,	0.158,	32.292,	5.090
2015-10-15,	23000,	3626.0,	115614.28,	0.158,	32.115,	5.063
2015-10-15,	23000,	3625.2,	115475.87,	0.158,	32.077,	5.056
2015-10-16,	23000,	3623.6,	115682.58,	0.158,	32.134,	5.063
2015-10-16,	23000,	3620.9,	116231.69,	0.157,	32.287,	5.083
2015-10-19,	23000,	3628.2,	116327.87,	0.158,	32.313,	5.097
2015-10-19,	23000,	3618.4,	116339.75,	0.157,	32.317,	5.084
2015-10-19,	23000,	3618.4,	116339.75,	0.157,	32.317,	5.084
2015-10-21,	23000,	3625.2,	116536.42,	0.158,	32.371,	5.102
2015-10-21,	23000,	3624.9,	116776.78,	0.158,	32.438,	5.112
2015-10-22,	23000,	3619.1,	116862.17,	0.157,	32.462,	5.108
2015-10-22,	23000,	3620.2,	116884.80,	0.157,	32.468,	5.111
2015-10-23,	23000,	3617.0,	116649.60,	0.157,	32.403,	5.096
2015-10-23,	23000,	3616.5,	116815.68,	0.157,	32.449,	5.102
2015-10-26,	23000,	3623.4,	116796.73,	0.158,	32.444,	5.111
2015-10-26,	23000,	3625.9,	116628.96,	0.158,	32.397,	5.107
2015-10-27,	23000,	3622.2,	116484.37,	0.157,	32.357,	5.096
2015-10-28,	23000,	3620.7,	116760.21,	0.157,	32.433,	5.106
2015-10-29,	23000,	3616.4,	117211.00,	0.157,	32.559,	5.119
2015-10-30,	23000,	3636.8,	116976.27,	0.158,	32.493,	5.138
2015-11-02,	23000,	3626.2,	116861.36,	0.158,	32.461,	5.118
2015-11-03,	23000,	3630.5,	116902.50,	0.158,	32.473,	5.126
2015-11-04,	23000,	3628.0,	116613.44,	0.158,	32.393,	5.110
2015-11-04,	23000,	3629.6,	116378.50,	0.158,	32.327,	5.101
2015-11-05,	23000,	3623.9,	116564.17,	0.158,	32.379,	5.102
2015-11-05,	23000,	3621.9,	116742.95,	0.157,	32.429,	5.107
2015-11-06,	23000,	3626.5,	116752.18,	0.158,	32.431,	5.114
2015-11-10,	23000,	3614.8,	117837.19,	0.157,	32.733,	5.144
2015-11-11,	23000,	3615.4,	117712.92,	0.157,	32.698,	5.140
2015-11-13,	23000,	3610.0,	117694.99,	0.157,	32.693,	5.131
2015-11-13,	23000,	3610.0,	117694.99,	0.157,	32.693,	5.131
2015-11-13,	23000,	3607.2,	118147.68,	0.157,	32.819,	5.147
2015-11-16,	23000,	3589.6,	118136.77,	0.156,	32.816,	5.122
2015-11-16,	23000,	3610.0,	117999.09,	0.157,	32.778,	5.145
2015-11-19,	23000,	3606.3,	117778.08,	0.157,	32.716,	5.130
2015-11-23,	23000,	3589.1,	117299.83,	0.156,	32.583,	5.085
2015-11-24,	23000,	3599.6,	117268.46,	0.157,	32.575,	5.098
2015-11-30,	23000,	3598.0,	117618.55,	0.156,	32.672,	5.111
2015-12-01,	23000,	3594.3,	117372.00,	0.156,	32.603,	5.095
2015-12-01,	23000,	3594.0,	117774.11,	0.156,	32.715,	5.112
2015-12-03,	23000,	3592.2,	117932.56,	0.156,	32.759,	5.116
2015-12-04,	23000,	3598.8,	117694.54,	0.156,	32.693,	5.115
2015-12-04,	23000,	3595.3,	118050.77,	0.156,	32.792,	5.126
2015-12-07,	23000,	3593.8,	117843.50,	0.156,	32.734,	5.115
2015-12-07,	23000,	3589.5,	118104.42,	0.156,	32.807,	5.120
2015-12-08,	23000,	3582.6,	118416.24,	0.156,	32.893,	5.124
2015-12-11,	23000,	3565.9,	118168.62,	0.155,	32.825,	5.089
2015-12-11,	23000,	3564.0,	118020.65,	0.155,	32.784,	5.080
2015-12-14,	23000,	3562.6,	118188.00,	0.155,	32.830,	5.085
2015-12-15,	23000,	3559.3,	117804.38,	0.155,	32.723,	5.064
