DATE,	CNY_SALARY,	TO_USD,	TO_NTD,	CNY2USD,	USD2NTD,	CNY2NTD
2015-07-01,	23000,	3714.5,	114629.47,	0.1615,	30.86000,	4.95700
2015-08-26,	23000,	3560.4,	115659.594,	0.1548,	32.485,	4.974
2015-08-27,	23000,	3571.9,	115800.998,	0.1553,	32.42,	4.985
2015-08-27,	23000,	3574.2,	115446.66,	0.1554,	32.3,	4.966
2015-08-28,	23000,	3583.4,	115546.733,	0.1558,	32.245,	4.966
2015-08-31,	23000,	3592.6,	116561.907,	0.1562,	32.445,	5.017
2015-08-31,	23000,	3592.6,	116597.833,	0.1562,	32.455,	5.019
2015-09-01,	23000,	3592.6,	116436.166,	0.1562,	32.41,	5.007
2015-09-02,	23000,	3597.2,	116549.28,	0.1564,	32.4,	5.007
2015-09-03,	23000,	3597.2,	116711.154,	0.1564,	32.445,	5.002
2015-09-04,	23000,	3590.3,	116684.75,	0.1561,	32.5,	5.012
2015-09-04,	23000,	3590.3,	116684.75,	0.1561,	32.5,	5.012
2015-09-07,	23000,	3585.7,	116947.6055,	0.1559,	32.615,	5.033
2015-09-07,	23000,	3583.4,	116944.259,	0.1558,	32.635,	5.022
2015-09-08,	23000,	3576.5,	116933.6675,	0.1555,	32.695,	5.012
2015-09-08,	23000,	3574.2,	116929.953,	0.1554,	32.715,	5.023
2015-09-08,	23000,	3583.4,	116926.342,	0.1558,	32.63,	5.023
2015-09-09,	23000,	3592.6,	116741.537,	0.1562,	32.495,	5.016
2015-09-10,	23000,	3585.7,	116786.249,	0.1559,	32.57,	5.005
